,OrderID,Payment_Date,Order_Date,outstanding_amount,order_amount,payment_amount,Delay_Days,Days_30,Days_60,Days_90,Days_120,Days_More_Than_120,prob_30,prob_60,prob_90,prob_120,prob_more_than_120
0,764,2009-06-12,2009-04-25,0.0,1752362,1752362.0,48.0,0,1,0,0,0,,0.0,,,
1,765,2009-07-16,2009-05-13,0.0,1748051,1748051.0,64.0,0,0,1,0,0,,,0.0,,
2,766,2009-07-21,2009-06-02,0.0,957918,957918.0,49.0,0,1,0,0,0,,0.0,,,
3,767,2009-08-24,2009-07-08,0.0,1843265,1843265.0,47.0,0,1,0,0,0,,0.0,,,
4,768,2009-10-08,2009-08-16,0.0,2034216,2034216.0,53.0,0,1,0,0,0,,0.0,,,
5,769,2009-11-08,2009-09-10,0.0,1750042,1750042.0,59.0,0,1,0,0,0,,0.0,,,
6,770,2009-11-25,2009-10-23,0.0,936539,936539.0,33.0,0,1,0,0,0,,0.0,,,
7,771,2009-12-20,2009-11-01,0.0,1598189,1598189.0,49.0,0,1,0,0,0,,0.0,,,
8,772,2010-01-29,2009-12-23,0.0,1187870,1187870.0,37.0,0,1,0,0,0,,0.0,,,
9,773,2010-04-09,2010-01-28,0.0,609850,609850.0,71.0,0,0,1,0,0,,,0.0,,
10,774,2010-04-06,2010-02-24,0.0,946565,946565.0,41.0,0,1,0,0,0,,0.0,,,
11,775,2010-04-22,2010-03-14,0.0,1780102,1780102.0,39.0,0,1,0,0,0,,0.0,,,
12,776,2010-05-17,2010-04-04,0.0,1004273,1004273.0,43.0,0,1,0,0,0,,0.0,,,
13,777,2010-06-21,2010-05-02,0.0,676141,676141.0,50.0,0,1,0,0,0,,0.0,,,
14,778,2010-07-28,2010-06-07,0.0,784041,784041.0,51.0,0,1,0,0,0,,0.0,,,
15,779,2010-08-25,2010-07-12,0.0,1658376,1658376.0,44.0,0,1,0,0,0,,0.0,,,
16,780,2010-11-05,2010-08-24,0.0,706964,706964.0,73.0,0,0,1,0,0,,,0.0,,
17,781,2010-10-21,2010-09-08,0.0,1880187,1880187.0,43.0,0,1,0,0,0,,0.0,,,
18,782,2010-11-28,2010-10-01,0.0,1495481,1495481.0,58.0,0,1,0,0,0,,0.0,,,
19,783,2011-01-08,2010-11-20,0.0,580575,580575.0,49.0,0,1,0,0,0,,0.0,,,
20,784,2011-02-04,2010-12-06,0.0,1876043,1876043.0,60.0,0,1,0,0,0,,0.0,,,
21,785,2011-03-15,2011-01-05,0.0,1640847,1640847.0,69.0,0,0,1,0,0,,,0.0,,
22,786,2011-04-06,2011-02-08,0.0,1595413,1595413.0,57.0,0,1,0,0,0,,0.0,,,
23,787,2011-05-10,2011-03-20,0.0,832731,832731.0,51.0,0,1,0,0,0,,0.0,,,
24,788,2011-06-13,2011-04-13,0.0,1744196,1744196.0,61.0,0,0,1,0,0,,,0.0,,
25,789,2011-07-28,2011-05-28,0.0,569101,569101.0,61.0,0,0,1,0,0,,,0.0,,
26,790,2011-08-11,2011-06-18,0.0,1046334,1046334.0,54.0,0,1,0,0,0,,0.0,,,
27,791,2011-09-02,2011-07-02,0.0,664806,664806.0,62.0,0,0,1,0,0,,,0.0,,
28,792,2011-10-02,2011-08-17,0.0,483228,483228.0,46.0,0,1,0,0,0,,0.0,,,
29,793,2012-01-17,2011-09-24,0.0,518957,518957.0,115.0,0,0,0,1,0,,,,0.0,
30,794,2011-11-21,2011-10-03,0.0,1839167,1839167.0,49.0,0,1,0,0,0,,0.0,,,
31,795,2012-02-20,2011-11-05,0.0,638781,638781.0,107.0,0,0,0,1,0,,,,0.0,
32,796,2012-04-08,2011-12-29,0.0,870516,870516.0,101.0,0,0,0,1,0,,,,0.0,
33,797,2012-04-15,2012-01-04,0.0,1733440,1733440.0,102.0,0,0,0,1,0,,,,0.0,
34,798,2012-04-14,2012-02-27,0.0,1691697,1691697.0,47.0,0,1,0,0,0,,0.0,,,
35,799,2012-06-15,2012-03-23,0.0,920564,920564.0,84.0,0,0,1,0,0,,,0.0,,
36,800,2012-07-07,2012-04-06,0.0,950130,950130.0,92.0,0,0,0,1,0,,,,0.0,
37,801,2012-08-27,2012-05-23,10810.0,566101,555291.0,96.0,0,0,0,1,0,,,,0.019095532422659562,
38,802,2012-10-07,2012-06-21,0.0,1749900,1749900.0,108.0,0,0,0,1,0,,,,0.0,
39,803,2012-11-04,2012-07-11,0.0,1192525,1192525.0,116.0,0,0,0,1,0,,,,0.0,
40,804,2012-10-15,2012-08-26,0.0,1338514,1338514.0,50.0,0,1,0,0,0,,0.0,,,
41,805,2012-11-01,2012-09-01,0.0,1590483,1590483.0,61.0,0,0,1,0,0,,,0.0,,
42,806,2012-12-21,2012-10-29,0.0,1175175,1175175.0,53.0,0,1,0,0,0,,0.0,,,
43,807,2012-12-10,2012-11-03,0.0,1510607,1510607.0,37.0,0,1,0,0,0,,0.0,,,
44,808,2013-02-16,2012-12-24,0.0,1456381,1456381.0,54.0,0,1,0,0,0,,0.0,,,
45,809,2013-03-18,2013-01-30,0.0,1837285,1837285.0,47.0,0,1,0,0,0,,0.0,,,
