CustID,OrderID,Date,amount
4,764,2009-04-25,1752362
4,765,2009-05-13,1748051
4,766,2009-06-02,957918
4,767,2009-07-08,1843265
4,768,2009-08-16,2034216
4,769,2009-09-10,1750042
4,770,2009-10-23,936539
4,771,2009-11-01,1598189
4,772,2009-12-23,1187870
4,773,2010-01-28,609850
4,774,2010-02-24,946565
4,775,2010-03-14,1780102
4,776,2010-04-04,1004273
4,777,2010-05-02,676141
4,778,2010-06-07,784041
4,779,2010-07-12,1658376
4,780,2010-08-24,706964
4,781,2010-09-08,1880187
4,782,2010-10-01,1495481
4,783,2010-11-20,580575
4,784,2010-12-06,1876043
4,785,2011-01-05,1640847
4,786,2011-02-08,1595413
4,787,2011-03-20,832731
4,788,2011-04-13,1744196
4,789,2011-05-28,569101
4,790,2011-06-18,1046334
4,791,2011-07-02,664806
4,792,2011-08-17,483228
4,793,2011-09-24,518957
4,794,2011-10-03,1839167
4,795,2011-11-05,638781
4,796,2011-12-29,870516
4,797,2012-01-04,1733440
4,798,2012-02-27,1691697
4,799,2012-03-23,920564
4,800,2012-04-06,950130
4,801,2012-05-23,566101
4,802,2012-06-21,1749900
4,803,2012-07-11,1192525
4,804,2012-08-26,1338514
4,805,2012-09-01,1590483
4,806,2012-10-29,1175175
4,807,2012-11-03,1510607
4,808,2012-12-24,1456381
4,809,2013-01-30,1837285
4,810,2013-02-25,872500
4,811,2013-03-21,972890
4,812,2013-04-03,1369640
4,813,2013-05-23,1190786
4,814,2013-06-13,733315
4,815,2013-07-28,1752137
4,816,2013-07-31,913973
4,817,2013-09-10,1971179
4,818,2013-10-23,1584941
4,819,2013-11-19,1206548
4,820,2013-12-18,1142522
4,821,2014-01-24,546621
4,822,2014-02-09,1766812
4,823,2014-03-18,838534
4,824,2014-04-20,1361351
4,825,2014-04-30,1189084
4,826,2014-06-07,942520
4,827,2014-07-16,655233
4,828,2014-08-09,1262554
4,829,2014-09-10,575682
4,830,2014-10-17,853454
4,831,2014-11-11,1543753
4,832,2014-12-12,541087
4,833,2015-01-13,828951
4,834,2015-02-22,1739334
4,835,2015-03-21,1043332
4,836,2015-04-07,1859071
4,837,2015-05-15,927303
4,838,2015-06-09,515168
4,839,2015-07-27,1588632
4,840,2015-08-23,592841
4,841,2015-09-13,717739
4,842,2015-10-12,1847662
4,843,2015-11-06,907319
4,844,2015-12-04,937914
4,845,2016-01-20,638091
4,846,2016-02-05,973117
4,847,2016-03-06,1740426
4,848,2016-04-11,1490256
4,849,2016-05-20,990619
4,850,2016-06-11,791254
4,851,2016-07-18,1399796
4,852,2016-08-20,1125791
4,853,2016-09-15,1181137
4,854,2016-10-22,626830
110,11879,2009-04-14,1911484
110,11880,2009-05-12,1882981
110,11881,2009-06-15,1238509
110,11882,2009-07-04,1851117
110,11883,2009-08-11,1261202
110,11884,2009-09-10,1580277
110,11885,2009-10-15,904754
110,11886,2009-11-11,1148397
110,11887,2009-12-25,1593878
110,11888,2010-01-01,898503
110,11889,2010-02-18,1325894
110,11890,2010-03-23,1846819
110,11891,2010-04-17,1079416
110,11892,2010-05-24,537839
110,11893,2010-06-03,1354356
110,11894,2010-07-14,1753226
110,11895,2010-08-27,870453
110,11896,2010-09-16,1880106
110,11897,2010-10-08,1431437
110,11898,2010-11-17,1169219
110,11899,2010-12-05,1757306
110,11900,2011-01-07,949344
110,11901,2011-02-06,1192876
110,11902,2011-03-30,1053188
110,11903,2011-04-12,1442132
110,11904,2011-05-11,807280
110,11905,2011-06-12,1056283
110,11906,2011-07-17,1176297
110,11907,2011-08-14,539650
110,11908,2011-09-18,686014
110,11909,2011-10-23,1740306
110,11910,2011-11-29,610100
110,11911,2011-12-24,1316239
110,11912,2012-01-20,1791411
110,11913,2012-02-09,1780698
110,11914,2012-03-24,978263
110,11915,2012-04-18,983049
110,11916,2012-05-09,657890
110,11917,2012-06-13,1449223
110,11918,2012-07-07,1208689
110,11919,2012-08-21,1325262
110,11920,2012-09-18,1441577
110,11921,2012-10-15,1274318
110,11922,2012-11-05,1646849
110,11923,2012-12-11,1594674
110,11924,2013-01-04,1581243
110,11925,2013-02-07,1259324
110,11926,2013-02-27,1254931
110,11927,2013-04-16,1782452
110,11928,2013-05-21,488368
110,11929,2013-06-08,952098
110,11930,2013-07-15,1171908
110,11931,2013-08-19,873052
110,11932,2013-09-01,1921934
110,11933,2013-10-20,1461316
110,11934,2013-11-20,1308779
110,11935,2013-12-01,1239760
110,11936,2014-01-29,613818
110,11937,2014-02-19,1663765
110,11938,2014-03-18,1202550
110,11939,2014-04-02,1163452
110,11940,2014-05-29,1498065
110,11941,2014-06-19,1593869
110,11942,2014-07-12,1583991
110,11943,2014-08-02,1180961
110,11944,2014-09-13,484922
110,11945,2014-10-10,1338788
110,11946,2014-11-03,1024306
110,11947,2014-12-21,878194
110,11948,2015-01-19,1196660
110,11949,2015-02-19,1612721
110,11950,2015-03-04,1179424
110,11951,2015-04-07,1975520
110,11952,2015-05-01,915776
110,11953,2015-06-14,1035802
110,11954,2015-07-16,974724
110,11955,2015-08-21,627229
110,11956,2015-09-10,667255
110,11957,2015-10-16,1889273
110,11958,2015-11-28,950067
110,11959,2015-12-15,1269486
132,12777,2009-04-05,512071
132,12778,2009-05-05,470833
132,12779,2009-06-21,291567
132,12780,2009-07-06,485570
132,12781,2009-08-12,331216
132,12782,2009-09-16,420788
132,12783,2009-10-24,213768
132,12784,2009-11-29,331353
132,12785,2009-12-01,391176
132,12786,2010-01-24,210794
132,12787,2010-02-17,318564
132,12788,2010-03-26,467321
132,12789,2010-04-17,326474
132,12790,2010-05-09,144340
132,12791,2010-06-25,337356
132,12792,2010-07-13,514726
132,12793,2010-08-03,186810
132,12794,2010-09-24,438964
132,12795,2010-10-09,401075
132,12796,2010-11-03,350953
132,12797,2010-12-20,481979
132,12798,2011-01-11,258242
132,12799,2011-02-07,302599
132,12800,2011-03-07,255360
132,12801,2011-04-22,431705
132,12802,2011-05-24,230697
132,12803,2011-06-03,233065
132,12804,2011-07-23,329082
132,12805,2011-08-28,180422
132,12806,2011-09-18,147947
132,12807,2011-10-15,498528
132,12808,2011-11-12,157597
132,12809,2011-12-14,310664
132,12810,2012-01-06,484855
132,12811,2012-02-16,498529
132,12812,2012-03-06,229692
132,12813,2012-04-13,217477
132,12814,2012-05-07,163701
132,12815,2012-06-06,386655
132,12816,2012-07-29,326336
132,12817,2012-08-25,304210
132,12818,2012-09-05,395592
132,12819,2012-10-17,326895
132,12820,2012-11-26,378500
132,12821,2012-12-08,387256
132,12822,2013-01-22,419501
132,12823,2013-02-27,275812
132,12824,2013-03-18,279072
132,12825,2013-04-25,454789
132,12826,2013-05-16,173719
132,12827,2013-06-22,242647
132,12828,2013-07-26,308667
132,12829,2013-08-09,251047
132,12830,2013-09-20,471238
132,12831,2013-10-25,377916
132,12832,2013-11-11,320689
132,12833,2013-12-21,309553
132,12834,2014-01-07,154945
132,12835,2014-02-26,345410
132,12836,2014-03-06,323700
132,12837,2014-04-09,299782
132,12838,2014-05-24,417553
132,12839,2014-06-26,410861
132,12840,2014-07-24,390243
132,12841,2014-08-26,314633
132,12842,2014-09-03,158570
132,12843,2014-10-02,328513
132,12844,2014-11-03,248362
132,12845,2014-12-14,242217
132,12846,2015-01-20,326213
132,12847,2015-01-31,412980
132,12848,2015-03-23,326077
132,12849,2015-04-29,458251
132,12850,2015-05-14,214863
132,12851,2015-06-22,251181
132,12852,2015-07-18,216378
132,12853,2015-08-25,183710
132,12854,2015-09-10,152031
132,12855,2015-10-16,521382
132,12856,2015-11-17,231512
132,12857,2015-12-07,324306
132,12858,2016-01-22,166737
132,12859,2016-02-26,244221
132,12860,2016-03-14,460220
132,12861,2016-04-03,262401
132,12862,2016-05-19,257721
132,12863,2016-06-05,299520
132,12864,2016-07-03,450575
132,12865,2016-08-16,356853
132,12866,2016-09-05,316978
132,12867,2016-10-13,354076
132,12868,2016-11-03,248136
132,12869,2016-12-03,297777
132,12870,2017-01-12,469193
132,12871,2017-02-13,394290
132,12872,2017-03-08,315757
132,12873,2017-04-23,331896
132,12874,2017-05-20,349589
132,12875,2017-06-07,334550
132,12876,2017-07-09,407903
132,12877,2017-08-09,319339
132,12878,2017-09-14,312877
132,12879,2017-10-20,395546
132,12880,2017-11-22,336004
132,12881,2017-12-17,391655
132,12882,2018-01-04,482762
132,12883,2018-02-23,255251
132,12884,2018-03-21,240296
132,12885,2018-04-24,329166
132,12886,2018-05-19,232639
132,12887,2018-06-01,231552
132,12888,2018-07-22,296190
132,12889,2018-08-26,318952
132,12890,2018-09-17,335618
132,12891,2018-10-22,156820
132,12892,2018-11-21,367901
132,12893,2018-12-30,152065
132,12894,2019-01-06,471775
132,12895,2019-02-03,316606
132,12896,2019-03-02,333923
133,12989,2009-04-05,732778
133,12990,2009-05-06,760217
133,12991,2009-06-09,447711
133,12992,2009-07-21,754718
133,12993,2009-08-12,515397
133,12994,2009-09-25,616620
133,12995,2009-10-22,323938
133,12996,2009-11-28,540576
133,12997,2009-12-13,656013
133,12998,2010-01-05,349254
133,12999,2010-02-06,524278
133,13000,2010-03-06,740390
133,13001,2010-04-22,483851
133,13002,2010-05-09,232522
133,13003,2010-06-09,492301
133,13004,2010-07-25,752690
133,13005,2010-08-18,377381
133,13006,2010-09-20,750333
133,13007,2010-10-15,599401
133,13008,2010-11-16,481404
133,13009,2010-12-17,743920
133,13010,2011-01-22,387594
133,13011,2011-02-05,557177
133,13012,2011-03-02,350338
133,13013,2011-04-15,629562
133,13014,2011-05-13,341965
133,13015,2011-06-13,339452
133,13016,2011-07-03,539264
133,13017,2011-08-29,229267
133,13018,2011-09-24,219747
133,13019,2011-10-23,698062
133,13020,2011-11-22,248782
133,13021,2011-12-09,466973
133,13022,2012-01-20,704621
133,13023,2012-02-11,749864
133,13024,2012-03-10,344079
133,13025,2012-04-02,417173
133,13026,2012-05-14,292016
133,13027,2012-05-31,614443
133,13028,2012-07-21,525237
133,13029,2012-08-22,503599
133,13030,2012-09-09,661658
133,13031,2012-10-09,505514
133,13032,2012-11-17,598822
133,13033,2012-12-07,635183
133,13034,2013-01-14,623433
133,13035,2013-02-15,503120
133,13036,2013-03-20,532218
133,13037,2013-04-04,686095
133,13038,2013-05-18,239617
133,13039,2013-06-11,407431
133,13040,2013-07-15,539810
133,13041,2013-08-08,310006
133,13042,2013-09-09,769217
133,13043,2013-10-22,638412
133,13044,2013-11-01,491711
133,13045,2013-12-10,502221
133,13046,2014-01-02,239375
133,13047,2014-02-07,645453
133,13048,2014-03-20,510740
133,13049,2014-04-07,529927
133,13050,2014-05-22,668380
133,13051,2014-06-22,655339
133,13052,2014-07-22,634277
133,13053,2014-08-09,470283
133,13054,2014-09-26,202698
133,13055,2014-10-10,506812
133,13056,2014-11-27,370455
133,13057,2014-12-30,425792
133,13058,2015-01-09,488113
133,13059,2015-02-02,637853
133,13060,2015-03-01,464961
133,13061,2015-04-18,725188
133,13062,2015-05-05,418017
133,13063,2015-06-27,410689
133,13064,2015-07-22,364434
133,13065,2015-08-21,219819
133,13066,2015-09-15,252742
133,13067,2015-10-15,719514
133,13068,2015-11-26,344577
133,13069,2015-12-22,414520
133,13070,2016-01-28,260763
133,13071,2016-02-28,341175
133,13072,2016-03-14,768357
133,13073,2016-04-28,522033
133,13074,2016-05-19,377421
133,13075,2016-06-10,526135
133,13076,2016-07-10,772775
133,13077,2016-08-17,513193
133,13078,2016-09-12,507970
133,13079,2016-10-27,551303
133,13080,2016-11-03,344740
133,13081,2016-12-06,477490
133,13082,2017-01-27,773110
133,13083,2017-02-21,618137
133,13084,2017-03-18,474554
133,13085,2017-04-18,529301
133,13086,2017-05-04,624718
133,13087,2017-06-04,511262
133,13088,2017-07-04,650807
133,13089,2017-08-11,427139
133,13090,2017-09-06,512634
133,13091,2017-10-03,577420
133,13092,2017-11-09,522167
133,13093,2017-12-03,653626
133,13094,2018-01-21,756218
133,13095,2018-02-21,407895
133,13096,2018-03-06,424104
133,13097,2018-04-04,493434
133,13098,2018-05-04,348637
133,13099,2018-06-11,361399
133,13100,2018-07-24,500729
133,13101,2018-08-14,487972
133,13102,2018-09-07,557267
133,13103,2018-10-11,236602
133,13104,2018-11-09,607077
133,13105,2018-12-02,209933
133,13106,2019-01-21,728864
133,13107,2019-02-20,475963
133,13108,2019-03-05,492530
135,13281,2009-04-17,2489001
135,13282,2009-05-04,2477996
135,13283,2009-06-09,1692604
135,13284,2009-07-08,2345443
135,13285,2009-08-12,1608566
135,13286,2009-09-14,1972678
135,13287,2009-10-28,1009907
135,13288,2009-11-13,1599461
135,13289,2009-12-24,1986764
135,13290,2010-01-18,1397910
135,13291,2010-02-05,1691935
135,13292,2010-03-12,2516909
135,13293,2010-04-24,1535396
135,13294,2010-05-09,988800
135,13295,2010-06-02,1566594
135,13296,2010-07-25,2459596
135,13297,2010-08-11,1167204
135,13298,2010-09-19,2232002
135,13299,2010-10-27,2016577
135,13300,2010-11-15,1737117
135,13301,2010-12-16,2259614
135,13302,2011-01-16,1106271
135,13303,2011-02-05,1695517
135,13304,2011-03-11,1039996
135,13305,2011-04-23,2129283
135,13306,2011-05-21,1221344
135,13307,2011-06-02,1289731
135,13308,2011-07-10,1588772
135,13309,2011-08-27,938696
135,13310,2011-09-23,774451
135,13311,2011-10-07,2505017
135,13312,2011-11-29,847977
135,13313,2011-12-16,1500916
135,13314,2012-01-17,2513434
135,13315,2012-02-05,2550781
135,13316,2012-03-29,1111274
135,13317,2012-04-09,1139940
135,13318,2012-05-10,655148
135,13319,2012-06-12,2023243
135,13320,2012-07-30,1578406
135,13321,2012-08-09,1749192
135,13322,2012-09-17,2111726
135,13323,2012-10-28,1548117
135,13324,2012-11-12,1986937
135,13325,2012-12-05,1992017
135,13326,2013-01-07,2089796
135,13327,2013-02-17,1548933
135,13328,2013-03-23,1686830
135,13329,2013-04-22,2332814
135,13330,2013-05-16,823980
135,13331,2013-06-03,1058503
135,13332,2013-07-13,1619428
135,13333,2013-08-07,1192775
135,13334,2013-09-25,2218449
135,13335,2013-10-06,1750305
135,13336,2013-11-21,1712647
135,13337,2013-12-25,1517343
135,13338,2014-01-02,823582
135,13339,2014-02-03,2168689
135,13340,2014-03-07,1488185
135,13341,2014-04-27,1819233
135,13342,2014-05-07,2095190
135,13343,2014-06-10,2121696
135,13344,2014-07-29,1984453
135,13345,2014-08-02,1535344
135,13346,2014-09-21,949910
135,13347,2014-10-13,1597856
135,13348,2014-11-15,1000984
135,13349,2014-12-24,1258946
135,13350,2015-01-22,1732918
135,13351,2015-02-09,2081087
135,13352,2015-03-21,1506608
135,13353,2015-04-14,2436714
135,13354,2015-05-20,1108668
135,13355,2015-06-18,1193035
135,13356,2015-07-27,1103094
135,13357,2015-08-10,930753
135,13358,2015-09-02,718116
135,13359,2015-10-10,2428915
135,13360,2015-11-24,1179490
135,13361,2015-12-23,1594565
135,13362,2016-01-17,807640
135,13363,2016-02-20,1256255
135,13364,2016-03-08,2409829
135,13365,2016-04-18,1604478
135,13366,2016-05-02,1199706
135,13367,2016-06-10,1526991
135,13368,2016-07-08,2278009
135,13369,2016-08-20,1549932
135,13370,2016-09-28,1516279
135,13371,2016-10-28,1563118
135,13372,2016-11-10,1219534
135,13373,2016-12-06,1671316
135,13374,2017-01-24,2380998
135,13375,2017-02-25,1980325
135,13376,2017-03-24,1636657
135,13377,2017-04-15,1617284
135,13378,2017-05-15,2107313
135,13379,2017-06-13,1609506
135,13380,2017-07-21,2042938
135,13381,2017-08-09,1795618
135,13382,2017-08-31,1555708
135,13383,2017-10-23,1855919
135,13384,2017-11-25,1555017
135,13385,2017-12-04,2055363
135,13386,2018-01-11,2325223
135,13387,2018-02-11,1277204
135,13388,2018-03-22,1104777
135,13389,2018-04-02,1600125
135,13390,2018-05-20,1176020
